ID;Nome;DataNascimento;Género;ÁreaResidência;Profissão
1221;Nelson Fernandes;1972-12-17;M;Lisboa;Trabalhador de cuidados pessoais nos serviços de saúde
1222;Salvador Maia;1951-3-9;M;Porto;Trabalhador qualificado da construção das estruturas básicas e similares
1223;Hugo Ramos;1953-4-10;M;Lisboa;Professor dos ensinos básico (1º ciclo) e educador de infância
1224;Leonor da Azevedo;1985-8-20;F;Braga;Cabeleireiro, esteticista e similares
1225;Jorge Amorim;1950-1-25;M;Braga;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
1226;Letícia Mendes;1992-2-19;F;Setúbal;Técnico das ciências físicas e de engenharia
1227;Bianca Mendes;1990-1-22;F;Lisboa;Pintor, limpador de fachadas e similares
1228;Jorge Pereira;1995-8-11;M;Lisboa;Agente de nível intermédio da Administração Pública, para aplicação da lei e similares
1229;Sebastião Oliveira;1986-7-16;M;Lisboa;Director dos serviços das tecnologias da informação e comunicação (TIC)
1230;Hugo Teixeira;1995-1-31;M;Faro;Administrativo e secretário especializado
1231;Salomé Assunção;1952-7-12;F;Braga;Agricultor de subsistência
1232;Kévim Pacheco;1963-10-2;M;Faro;Outras profissões elementares
1233;Cristiano Esteves;1996-8-27;M;Lisboa;Especialista do ensino
1234;Mélanie do Vieira;1958-4-11;F;Porto;Técnico das telecomunicações e da radiodifusão
1235;Petra Silva-Morais;1966-11-24;F;Setúbal;Trabalhador de cuidados pessoais nos serviços de saúde
1236;Xavier Costa-Pacheco;1964-5-16;M;Faro;Director e gerente de outros serviços
1237;Francisco Pereira;1983-1-9;M;Setúbal;Engenheiro Informático
1238;Fábio Cardoso;1990-10-13;M;Lisboa;Agente de compras, de vendas e corretores comerciais
1239;Larissa Nunes;1964-5-31;F;Braga;Mecânico e reparador de máquinas e de veículos
1240;Gil Borges;1979-7-13;M;Lisboa;Engenheiro Informático
1241;Ivo Costa-Faria;1983-8-9;M;Faro;Pessoal de recepção e de informação a clientes
1242;Marcos Leal;1964-4-4;M;Faro;Analista e programador, de software, Web e de aplicações
1243;Irina Andrade;1957-8-21;F;Faro;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
1244;Guilherme Morais;1957-9-11;M;Braga;Operador de dados, de contabilidade, estatística e serviços financeiros
1245;Joana Lourenço;1958-2-10;F;Setúbal;Trabalhador qualificado da floresta e similares
1246;Jorge Nunes;1979-7-4;M;Lisboa;Artista criativo e das artes do espectáculo
1247;Kévim Garcia;1996-7-1;M;Faro;Director de produção na agricultura, produção animal, floresta e pesca
1248;Luca Brito;1971-3-8;M;Lisboa;Trabalhador da impressão
1249;Gaspar Cunha;1990-4-20;M;Setúbal;Auxiliar de educadores de infância e de professores
1250;Nádia Torres;1950-6-17;F;Lisboa;Tripulante de convés de navios e similares
1251;Marcos Pires;1984-5-30;M;Setúbal;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
1252;Ricardo Oliveira;1979-12-24;M;Braga;Outras profissões elementares
1253;Melissa Paiva-Simões;1954-8-5;F;Porto;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
1254;Tomé Gomes;1970-1-6;M;Lisboa;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
1255;Iara Vaz;1962-8-24;F;Braga;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
1256;Inês de Marques;1966-1-29;F;Setúbal;Físico, químico e especialista relacionado
1257;Laura do Teixeira;1995-8-18;F;Porto;Técnico das ciências físicas e de engenharia
1258;Leonardo Gaspar;1979-12-8;M;Setúbal;Operador de caixa e venda de bilhetes
1259;Petra Martins;1962-12-9;F;Faro;Trabalhador de cuidados pessoais nos serviços de saúde
1260;Beatriz Guerreiro;1991-4-10;F;Porto;Outras profissões elementares
1261;Andreia-Bianca Neto;1981-3-21;F;Setúbal;Operador de instalações de transformação e acabamento, de metais
1262;Francisco da Cardoso;1964-2-14;M;Setúbal;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
1263;Yara Cardoso;1970-11-5;F;Porto;Agente de negócios
1264;Iara Pinho;1987-11-9;F;Lisboa;Director de serviços especializados
1265;António Borges-Brito;1982-4-26;M;Lisboa;Forjador, serralheiro mecânico e similar
1266;Vasco Alves-Matos;1965-2-23;M;Faro;Prestador de serviços na rua
1267;Inês da Pereira;1989-8-9;F;Setúbal;Trabalhador de limpeza em casas particulares, hotéis e escritórios
1268;Artur Branco;1987-5-2;M;Braga;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
1269;Lucas Barros;1976-2-28;M;Setúbal;Trabalhador relacionado com vendas
1270;Xavier Amorim;1977-1-4;M;Braga;Técnico de nível intermédio da área financeira e matemática
1271;Enzo Gomes;1983-5-14;M;Faro;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
1272;Constança-Laura Tavares;1984-12-22;F;Lisboa;Técnico e profissões afins das ciências da vida, de nível intermédio
1273;Gonçalo Torres;1994-7-11;M;Braga;Caixa, penhorista e similares
1274;Emília Morais;1964-2-27;F;Braga;Trabalhador da impressão
1275;Santiago do Carneiro;1994-2-5;M;Lisboa;Forjador, serralheiro mecânico e similar
1276;Lia Simões;1987-5-8;F;Porto;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
1277;Enzo Simões;1983-11-23;M;Faro;Outro pessoal das Forças Armadas
1278;Emma Rodrigues;1961-11-17;F;Setúbal;Sargento das Forças Armadas
1279;Joaquim Moura;1979-10-7;M;Porto;Médico
1280;Sandro Paiva;1976-2-3;M;Setúbal;Arquitecto, urbanista e designer
1281;Raquel Monteiro-Araújo;1977-10-14;F;Porto;Director de produção na agricultura, produção animal, floresta e pesca
1282;Afonso Almeida;1978-9-25;M;Setúbal;Empregado de mesa e bar
1283;Enzo Gonçalves;1965-4-14;M;Porto;Técnico e assistente de veterinários
1284;Luca Batista;1986-8-12;M;Setúbal;Director de produção na agricultura, produção animal, floresta e pesca
1285;Pedro Gonçalves;1994-2-10;M;Setúbal;Trabalhador de outros ofícios
1286;Santiago Vicente-Barros;1955-4-28;M;Faro;Produtor e trabalhador qualificado na criação animal
1287;Ema-Benedita Ramos;1952-5-8;F;Faro;Auxiliar de enfermagem e parteiras
1288;Lia Nogueira;1993-10-11;F;Braga;Especialista em finanças e contabilidade
1289;Francisca Barbosa;1996-11-16;F;Braga;Empregado de mesa e bar
1290;Francisco Paiva;1972-9-9;M;Lisboa;Operador de processamento de texto e dados
1291;Santiago Coelho;1983-7-14;M;Lisboa;Trabalhador qualificado da floresta e similares
1292;Bárbara Guerreiro-Ferreira;1974-7-13;F;Porto;Tripulante de convés de navios e similares
1293;Joana Antunes;1997-9-2;F;Faro;Médico
1294;Dinis da Gonçalves;1971-3-4;M;Lisboa;Trabalhador não qualificado da indústria extractiva e construção
1295;Cristiano da Lourenço;1972-4-26;M;Faro;Empregado de escritório em geral
1296;Leonardo Valente;1962-8-29;M;Setúbal;Trabalhador da recuperação de resíduos
1297;Beatriz Vicente;1985-4-3;F;Porto;Trabalhador não qualificado da indústria extractiva e construção
1298;Emma Branco;1967-6-16;F;Lisboa;Técnico e profissões afins das ciências da vida, de nível intermédio
1299;Artur de Gaspar;1961-8-16;M;Braga;Especialista em ciências da vida
1300;Gabriela Gaspar;1976-3-10;F;Faro;Técnico das ciências físicas e de engenharia
1301;Nicole Baptista;1970-5-6;F;Faro;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
1302;Emma Figueiredo;1967-10-13;F;Setúbal;Técnico de operação e controlo de processos industriais
1303;Kevin da Mota;1966-8-10;M;Braga;Trabalhador de chapas metálicas, preparador e montador de estruturas metálicas, moldador de metal, soldador e trabalhador similares
1304;Emma Fonseca;1977-4-6;F;Faro;Profissional de nível intermédio da medicina tradicional e complementar
1305;Bernardo Abreu;1972-10-17;M;Porto;Profissional de nível intermédio da medicina tradicional e complementar
1306;Eva Ribeiro;1986-4-10;F;Lisboa;Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado
1307;Camila Nogueira;1981-1-19;F;Lisboa;Motorista de veículos pesados e de autocarros
1308;Patrícia Coelho;1955-8-2;F;Lisboa;Trabalhador da recuperação de resíduos
1309;Gustavo Morais;1997-9-12;M;Setúbal;Especialista em engenharia (excepto electrotecnologia)
1310;Erika Figueiredo;1961-8-30;F;Porto;Criador de animais de subsistência
1311;Isabel Neves;1951-2-10;F;Faro;Empregado de escritório em geral
1312;Daniel Antunes;1980-4-17;M;Faro;Vendedor ambulante e em mercados
1313;Filipa Loureiro;1968-5-16;F;Setúbal;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
1314;Noa do Moura;1985-5-11;M;Braga;Operador de processamento de texto e dados
1315;Edgar Branco-Ferreira;1979-10-8;M;Braga;Mecânico e reparador de máquinas e de veículos
1316;Santiago Silva;1960-11-6;M;Lisboa;Bibliotecário, arquivista e curador de museus e similares
1317;Lourenço Pires;1985-9-24;M;Porto;Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado
1318;Sérgio Morais;1963-11-10;M;Faro;Profissional de nível intermédio da saúde
1319;Matilde Simões;1986-5-25;F;Faro;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
1320;Mariana Andrade;1990-3-20;F;Porto;Operador de instalações fixas e máquinas
1321;Yara Andrade;1983-7-24;F;Braga;Matemático, actuário, estaticista e demógrafo
1322;Luísa Cunha;1977-7-31;F;Lisboa;Sargento das Forças Armadas
1323;César Marques;1986-7-30;M;Braga;Vendedor ambulante (excepto de alimentos)
1324;Rui Azevedo;1956-5-7;M;Setúbal;Encarregado das indústrias extractiva, transformadora e construção
1325;Mauro Matias;1970-8-12;M;Porto;Trabalhador de chapas metálicas, preparador e montador de estruturas metálicas, moldador de metal, soldador e trabalhador similares
1326;Érica Fonseca-Fonseca;1972-10-13;F;Porto;Criador de animais de subsistência
1327;Helena Fonseca;1953-12-5;F;Braga;Director e gerente do comércio a retalho e por grosso
1328;Alícia Sá;1957-8-11;F;Setúbal;Criador de animais de subsistência
1329;Eduardo Neves;1981-12-8;M;Porto;Professor dos ensinos básico (1º ciclo) e educador de infância
1330;Lorena Antunes;1971-6-2;F;Faro;Técnico operacional e controlador dos transportes marítimo e aéreo
1331;Juliana da Baptista;1984-8-27;F;Faro;Caixa, penhorista e similares
1332;Sérgio de Reis;1955-7-12;M;Setúbal;Administrativo e secretário especializado
1333;Andreia Coelho;1975-3-10;F;Setúbal;Pessoal dos serviços de protecção e segurança
1334;Dinis Alves;1976-5-10;M;Setúbal;Operador de caixa e venda de bilhetes
1335;Kyara Neto;1982-2-5;F;Setúbal;Empregado de escritório em geral
1336;Lorena Azevedo;1985-7-24;F;Faro;Técnico de operação e controlo de processos industriais
1337;Noah Cruz;1973-2-8;M;Lisboa;Operador de processamento de texto e dados
1338;Bárbara Santos;1974-7-19;F;Lisboa;Director de vendas, marketing e de desenvolvimento de negócios
1339;Leandro Jesus;1995-10-24;M;Faro;Técnico das ciências físicas e de engenharia
1340;Leonor Monteiro;1959-12-14;F;Setúbal;Trabalhador qualificado em acabamentos da construção e similares
